Row Labels,2005,Max of Production
Tripura,72336,161
Uttar Pradesh,1064695,8420
Uttarakhand,26088,8
West Bengal,379057,11399
Moth,553018,217192
Gujarat,158367,10000
Haryana,68137,700
Himachal Pradesh,12046,15
Jammu and Kashmir ,6006,718
Punjab,10010,200
Rajasthan,206418,217192
Uttar Pradesh,71975,10
Uttarakhand,20059,9
Niger seed,1261493,25000
Andhra Pradesh,30089,6515
Assam,260799,1184
Chhattisgarh,128466,5087
Dadra and Nagar Haveli,6008,553
Karnataka,246811,1691
Madhya Pradesh,188478,5676
Maharashtra,204523,7500
Nagaland,8011,25000
Odisha,86076,12540
Tamil Nadu,6015,
Telangana ,10019,198
West Bengal,86198,2872
Oilseeds total,210447,7556300
Arunachal Pradesh,134440,23459
Gujarat,7992,885600
Meghalaya,1998,57
Nagaland,6042,3300
Rajasthan,10015,0
Sikkim,6004,1000
Tripura,12004,1295
Uttar Pradesh,19970,34382
West Bengal,11982,7556300
Onion,4238303,1304400
Andhra Pradesh,214642,358241
Assam,268685,2453
Bihar,256231,16915
Chandigarh,4000,450
Chhattisgarh,178658,7916
Gujarat,164411,1304400
Haryana,102241,34600
Himachal Pradesh,20054,1583
Jammu and Kashmir ,30086,552
Jharkhand,46153,7711.06
Karnataka,560035,260937
Kerala,4027,
Madhya Pradesh,473441,203329
Maharashtra,28042,793741
Manipur,36018,640
Odisha,108095,46120
Puducherry,8027,429
Rajasthan,264537,165507
Tamil Nadu,238574,76882
Telangana ,144386,81265
Uttar Pradesh,981607,34459
Uttarakhand,106353,9420
Orange,160527,204728
Andhra Pradesh,16020,204728
Assam,92436,30197
Madhya Pradesh,18027,0
Manipur,8012,2132
Rajasthan,6008,0
Tamil Nadu,10013,830
Telangana ,10011,34544
Other  Rabi pulses,1948682,98782
Andhra Pradesh,28070,11740
Assam,138125,5879
Bihar,232512,28035
Chhattisgarh,174653,332
Dadra and Nagar Haveli,12032,4259
Goa,4018,1594
Gujarat,106289,7200
Haryana,9998,10000
Himachal Pradesh,18040,45
Jammu and Kashmir ,20049,174
Karnataka,230704,3751
Madhya Pradesh,202399,46811
Maharashtra,208541,18100
Meghalaya,64142,1145
Mizoram,26073,795
Nagaland,36095,2390
Odisha,94096,2780
Puducherry,8014,33
Punjab,8000,2400
Rajasthan,132245,6575
Sikkim,3996,1000
Telangana ,28041,718
Tripura,26123,367
Uttar Pradesh,80256,98782
Uttarakhand,52153,123
West Bengal,4018,54
Other Cereals & Millets,369081,40573
Gujarat,130514,11500
Jammu and Kashmir ,14057,38.2
Kerala,6020,620
Maharashtra,58026,12400
Sikkim,10038,1554
Tamil Nadu,12000,40573
Uttarakhand,138426,25373
Other Citrus Fruit,50064,0
Madhya Pradesh,10015,0
Tamil Nadu,40049,0
other fibres,8011,0
Rajasthan,6009,0
Telangana ,2002,0
Other Fresh Fruits,258321,22400
Andhra Pradesh,12015,11606
Haryana,28032,22400
Jammu and Kashmir ,14018,0
Karnataka,30037,4867
Kerala,18021,0
Madhya Pradesh,58074,0
Manipur,10012,5032
Rajasthan,44056,0
Sikkim,2002,1640
Tamil Nadu,34044,0
Telangana ,8010,483
Other Kharif pulses,2282089,30962
Andaman and Nicobar Islands,4001,199
Andhra Pradesh,62212,12559
Bihar,220572,3103
Chhattisgarh,174747,421
Dadra and Nagar Haveli,8003,1833
Goa,14078,290
Gujarat,170413,3900
Haryana,20025,3600
Himachal Pradesh,48104,1413
Jammu and Kashmir ,40139,268.2
Karnataka,258777,18310
Madhya Pradesh,224554,29863
Maharashtra,208504,17800
Manipur,28040,890
Mizoram,28083,1788
Nagaland,36088,1660
Odisha,36025,2540
Puducherry,8043,20
Rajasthan,282543,30962
Sikkim,38169,6510
Tamil Nadu,106155,7564
Telangana ,48084,652
Tripura,34144,1118
Uttar Pradesh,34102,17763
Uttarakhand,92341,1963
West Bengal,56143,450
other misc. pulses,42033,653
Andhra Pradesh,6000,51
Assam,8012,653
Chhattisgarh,2003,0.01
Madhya Pradesh,12018,0.01
Telangana ,14000,366
other oilseeds,397289,281707
Andaman and Nicobar Islands,8014,40.31
Andhra Pradesh,36169,281707
Gujarat,24128,20000
Haryana,4006,
Jammu and Kashmir ,10020,20.4
Kerala,12012,0
Maharashtra,32057,2500
Mizoram,48133,2994
Rajasthan,98351,131769
Sikkim,8007,20
Telangana ,16054,44021
Tripura,2002,628
Uttarakhand,98336,811
Other Vegetables,226307,45015
Andhra Pradesh,14018,0
Goa,4028,45015
Haryana,20024,19300
Jammu and Kashmir ,20025,1953
Kerala,10013,0
Madhya Pradesh,60077,0
Manipur,8011,428
Rajasthan,42050,0
Sikkim,6008,16740
Tamil Nadu,28034,5
Telangana ,14019,0
Paddy,296825,396907
Assam,152948,256004
Karnataka,31952,166203
Madhya Pradesh,19970,342600
Odisha,79880,396907
Puducherry,12075,19406
Papaya,280803,181328
Andhra Pradesh,32124,181328
Assam,98467,23235
Chhattisgarh,8011,4445
Karnataka,16016,464
Kerala,16048,14443
Madhya Pradesh,44054,3747
Manipur,20026,1600
Meghalaya,2003,1267
Rajasthan,20025,63
Tamil Nadu,18022,0
Telangana ,6007,1696
Peach,2003,0
Tamil Nadu,2003,0
Pear,6007,0
Tamil Nadu,6007,0
Peas  (vegetable),8009,0
Andhra Pradesh,2002,0
Telangana ,6007,0
Peas & beans (Pulses),2738732,127690
Assam,216828,5556
Bihar,359109,2076
Chhattisgarh,162642,1379
Haryana,100243,800
